Nom de l'unité d'analyse,Code de l'unité géographique,Code du département,Code de l'arrondissement,Code du chef-lieu ou de la ville,"Nombre des maisons, entièrement habitées, 1861","Nombre des maisons, non habitées en partie, 1861","Nombre des maisons, non habitées en totalité, 1861","Nombre des maisons, total, 1861","Nombre des maisons, en construction, 1861","Nombre de ménages, 1861","Population selon l'état civil, sexe masculin, garçons, 1861","Population selon l'état civil, sexe masculin, mariés, mariés, 1861","Population selon l'état civil, sexe masculin, veufs, 1861","Population selon l'état civil, sexe masculin, total, 1861","Population selon l'état civil, sexe féminin, filles, 1861","Population selon l'état civil, sexe féminin, mariées, 1861","Population selon l'état civil, sexe féminin, veuves, 1861","Population selon l'état civil, sexe féminin, total, 1861","Population selon l'état civil, total des deux sexes, 1861","L'âge, au-dessous de 21 ans, sexe masculin, 1861","L'âge, au-dessous de 21 ans, sexe féminin, 1861","L'âge, au-dessous de 21 ans, total, 1861","L'âge, au-dessus de 21 ans, sexe masculin, 1861","L'âge, au-dessus de 21 ans, sexe féminin, 1861","L'âge, au-dessus de 21 ans, total, 1861","La nationalité, français, 1861","La nationalité, anglais, 1861","La nationalité, allemands, 1861","La nationalité, belges, 1861","La nationalité, italiens, 1861","La nationalité, espagnols, 1861","La nationalité, suisses, 1861","La nationalité, polonais, 1861","La nationalité, autres étrangers, 1861","La nationalité, non constatée, 1861","Les cultes, catholiques, 1861","Les cultes, protestants de toutes sectes, 1861","Les cultes, israélites, 1861","Les cultes, autres, 1861","Les cultes, non constatée, 1861","Les professions, agriculture, 1861","Les professions, industrie, 1861","Les professions, commerce, 1861","Les professions, autres professions, 1861","Les professions, professions libérales, 1861","Les professions, clergé, 1861","Sans profession et professions non constatées, 1861",Population des 170 principales villes de France en 1836,Population des 170 principales villes de France en 1841,Population des 170 principales villes de France en 1846,Population des 170 principales villes de France en 1851,Population des 170 principales villes de France en 1856,Population des 170 principales villas de France selon le recensement de 1861,Accroissement des 170 principales de France de 1836 à 1841,Diminution des 170 principales villes de France de 1841 à 1846,Accroissement des 170 principales villes de France de 1841 à 1846,Diminution des 170 principales villes de France de 1841 à 1846,Accroissement des 170 principales villes de France de 1846 à 1851,Diminution des 170 principales villes de France de 1846 à 1851,Accroissement des 170 principales villes de France de 1851 à 1856,Diminution des 170 principales villes de France de 1851 à 1856,Accroissement de la population des 170 principales villes de France de 1856 à 1861,Diminution de la population des 170 principales villes de France de 1856 à 1861,Accroissement de la population des 170 principales villes de France de 1836 à 1856,Diminution de la population des 170 principales villes de France de 1836 à 1856,Accroissement annuel pour 100 habitants de 170 principales villes de 1836 à 1861,"Période de doublement (en ans), 1861","Recensement de 1846, population totale","Recensement de 1846, population comptée à part","Recensement de 1846, population normale ou municipale","Recensement de 1846, population agglomérée","Recensement de 1861, population totale","Recensement de 1861, population comptée à part","Recensement de 1861, population normale ou municipale","Recensement de 1861, population agglomérée","Nombre de maisons, 1851","Nombre de ménages, 1851","Garçons du sexe masculin, 1851","Hommes mariés, 1851","Veufs, 1851","Total des garçons hommes mariés et veufs, 1851","Filles, 1851","Femmes mariées, 1851","Veuves, 1851","Total des filles, femmes mariées et veuves, 1851","Total des deux sexes, 1851",Population d'après le dénombrement de 1846,"Catholiques romains, 1851","Églises réformées ou calvinistes, 1851","Luthériens, 1851","Israélites, 1851","Autres cultes, 1851","Individus dont on n'a pu constater le culte, 1851","Total de tous les cultes, 1851",Français d'origine : 1851,"Naturalisés français, 1851","Anglais, 1851","Allemands, 1851","Belges, 1851","Espagnols, 1851","Italiens, 1851","Polonais, 1851","Suisses, 1851","Autres étrangers, 1851","Individus dont on n'a pu constater la nationalité, 1851","Total de toutes les nationalités, 1851","Aveugles, 1851","Borgnes, 1851","Sourds-muets, 1851","Aliénés à domicile, 1851","Aliénés dans des établissements particuliers, 1851","Établissements publics, 1851","Goitreux, 1851","Affligés d'une déviation de la colonne vertébrale, 1851","Affligés de la perte d'un ou deux bras, 1851","Affligés de la perte d'un ou deux jambes, 1851","Pieds bots, 1851","Autres maladies ou infirmités, 1851","Total de toutes les maladies et infirmités, 1851"
FRANCE,0,0,0,0,67081,1966,1336,70383,956,128112,161559,1403782,144082,3655476,1879172,1393258,374535,3686147,527118,104613,102999,207612,164424,155082,319506,7086574,16729,53405,56590,50761,18592,22473,81,885,213,508086,16396,1416,79,9128,718122,3632038,744261,190189,844005,72360,43257,4186962,4545712,5032748,5231854,5865976,6408124,373104,14354,502859,15823,218412,19306,756910,122788,873823,331675,2344416,123254,212,33,4985754,505078,4480676,4147522,455522,59988,395534,359800,702693,1787983,1853372,1205663,126200,3185235,1684814,1197445,339063,3221322,6406557,6179057,6219758,85039,56695,33116,11560,389,6406557,6206088,4708,15306,29456,51440,10936,37425,5655,15325,29613,605,6406557,6440,7006,4226,1856,4125,8437,2894,6942,1603,2111,2378,37223,85241
BELLEY,3,1,1,1,924,4,34,962,0,1270,1154,900,108,2162,1150,911,253,2314,4476,686,686,1372,1476,1628,3104,4435,0,5,1,3,2,8,0,22,0,4467,9,0,0,0,1601,1467,244,4,470,150,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,1247,1470,916,75,2461,1243,918,245,2406,4867,5005,4850,11,0,6,0,0,4867,4494,5,0,7,0,2,4,0,18,337,0,4867,3,6,3,0,0,0,16,0,3,1,6,26,64
BOURG,3,1,2,2,1227,67,20,1314,5,3252,2401,2236,192,4829,3087,2285,729,6101,10930,1594,1855,3449,3235,4246,7481,10873,0,8,1,9,15,23,0,1,0,10912,17,0,0,1,1996,5146,841,112,2402,379,3176,9528,10219,11794,12068,11676,14052,691,0,1575,0,274,0,0,392,2376,0,4524,0,190,37,11794,1486,10308,8863,14052,3122,10930,9467,1668,2814,3537,2143,167,5847,3469,2099,653,6221,12068,11794,12053,11,1,3,0,0,12068,11941,3,0,21,0,13,45,2,30,13,0,12068,3,6,1,1,0,0,2,14,1,1,4,58,91
GEX,3,1,3,3,453,18,19,490,0,700,662,447,84,1193,696,447,130,1273,2466,425,446,871,768,827,1595,2415,0,7,0,4,0,40,0,0,0,2413,53,0,0,0,1134,766,202,0,256,24,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,688,878,465,89,1432,849,458,135,1442,2874,2854,2828,40,0,6,0,0,2874,2701,19,0,6,0,0,8,0,59,81,0,2874,5,7,3,5,0,0,4,4,1,4,0,26,59
NANTUA,3,1,4,4,266,133,15,414,2,995,918,688,94,1700,1063,688,200,1951,3651,644,678,1322,1056,1273,2329,3623,4,7,0,9,0,5,3,0,0,3644,5,2,0,0,104,2442,625,56,258,6,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,1004,1018,717,102,1837,1006,702,201,1909,3746,3741,3730,13,3,0,0,0,3746,3579,2,0,20,0,0,18,1,20,106,0,3746,10,16,5,2,1,0,1,4,2,2,5,40,88
TREVOUX,3,1,5,5,567,77,33,677,4,848,568,587,43,1198,653,595,175,1423,2621,395,447,842,803,976,1779,2607,0,5,0,3,0,6,0,0,0,2613,8,0,0,0,837,1102,118,14,309,42,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,928,790,636,77,1503,766,614,188,1568,3071,2538,3068,3,0,0,0,0,3071,3028,0,0,5,0,0,22,1,11,4,0,3071,0,1,0,1,0,0,0,4,1,1,0,6,14
CHATEAU-THIERRY,3,2,1,1,1020,84,10,1114,2,1732,1257,1339,140,2736,1474,1348,367,3189,5925,1004,1060,2064,1732,2129,3861,5888,0,12,17,1,0,6,0,1,0,5880,44,1,0,0,724,2355,381,50,506,79,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,1608,1216,1249,111,2576,1443,1243,367,3053,5629,5413,5616,7,4,0,2,0,5629,5607,1,1,1,6,0,0,7,3,3,0,5629,2,0,3,1,0,0,0,7,2,2,2,21,40
LAON,3,2,2,2,1578,21,13,1612,4,2545,3013,1918,294,5225,2482,1824,559,4865,10090,1463,1569,3032,3762,3296,7058,10032,5,5,27,4,3,4,7,3,0,10032,49,9,0,0,1843,2908,843,127,1401,123,2845,8230,9406,9809,10098,10412,10090,1176,0,403,0,289,0,314,0,0,322,1860,0,90,77,9809,1624,8185,8064,10090,1790,8300,8204,1576,2617,3000,1970,280,5250,2463,1843,542,4848,10098,9809,10053,30,13,2,0,0,10098,9962,2,0,12,87,5,0,8,4,4,14,10098,21,16,9,4,0,27,7,14,7,11,3,443,562
SAINT-QUENTIN,3,2,3,3,3890,396,210,4496,100,8753,8243,5946,601,14790,8548,5952,1500,16000,30790,6429,6118,12547,8361,9882,18243,30118,97,97,323,18,19,44,40,32,2,30490,273,27,0,0,667,17778,3145,1040,2010,169,5981,20570,21400,23852,24953,27661,30790,830,0,2452,0,1101,0,2708,0,3129,0,10220,0,199,35,23852,490,23362,23218,30790,1028,29762,28880,4040,9063,6436,4937,505,11878,6905,4912,1258,13075,24953,23852,24457,442,7,45,2,0,24953,23888,1,124,49,692,23,36,19,31,90,0,24953,16,14,13,6,0,0,3,16,10,10,8,132,228
SOISSONS,3,2,4,4,1310,28,40,1378,0,2722,3101,1873,233,5207,2480,1883,638,5001,10208,1785,1723,3508,3422,3278,6700,10063,8,17,100,9,2,3,1,5,0,10163,34,8,0,3,340,3853,857,859,1690,199,2410,8124,9152,10143,9477,10510,10208,1028,0,991,0,0,666,1033,0,0,302,2084,0,103,67,10143,2081,8062,7900,10208,1551,8657,8393,1248,2451,2905,1733,214,4852,2277,1714,634,4625,9477,10143,9443,19,10,3,1,1,9477,9440,2,5,5,12,2,3,0,0,8,0,9477,10,12,9,0,0,0,5,21,6,1,3,38,105
